  ALEXANDER KRISTOFF  ,135,UAE TEAM EMIRATES  ,'03h 46'' 23'''''
  MADS PEDERSEN  ,105,TREK - SEGAFREDO  ,'03h 46'' 23'''''
  CEES BOL  ,203,TEAM SUNWEB  ,'03h 46'' 23'''''
  SAM BENNETT  ,43,DECEUNINCK - QUICK - STEP  ,'03h 46'' 23'''''
  PETER SAGAN  ,21,BORA - HANSGROHE  ,'03h 46'' 23'''''
  ELIA VIVIANI  ,128,COFIDIS  ,'03h 46'' 23'''''
  GIACOMO NIZZOLO  ,191,NTT PRO CYCLING TEAM  ,'03h 46'' 23'''''
  BRYAN COQUARD  ,211,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'03h 46'' 23'''''
  ANTHONY TURGIS  ,188,TOTAL DIRECT ENERGIE  ,'03h 46'' 23'''''
  JASPER STUYVEN  ,107,TREK - SEGAFREDO  ,'03h 46'' 23'''''
  OLIVER NAESEN  ,35,AG2R LA MONDIALE  ,'03h 46'' 23'''''
  MATTEO TRENTIN  ,117,CCC TEAM  ,'03h 46'' 23'''''
  CLÉMENT VENTURINI  ,37,AG2R LA MONDIALE  ,'03h 46'' 23'''''
  LUKA MEZGEC  ,167,MITCHELTON - SCOTT  ,'03h 46'' 23'''''
  HUGO HOULE  ,143,ASTANA PRO TEAM  ,'03h 46'' 23'''''
  SERGIO ANDRES HIGUITA  ,74,EF PRO CYCLING  ,'03h 46'' 23'''''
  TADEJ POGACAR  ,131,UAE TEAM EMIRATES  ,'03h 46'' 23'''''
  CONNOR SWIFT  ,88,TEAM ARKEA - SAMSIC  ,'03h 46'' 23'''''
  CALEB EWAN  ,151,LOTTO SOUDAL  ,'03h 46'' 23'''''
  CHRISTOPHE LAPORTE  ,125,COFIDIS  ,'03h 46'' 23'''''
  JONAS KOCH  ,115,CCC TEAM  ,'03h 46'' 23'''''
  MICHAEL MØRKØV  ,48,DECEUNINCK - QUICK - STEP  ,'03h 46'' 23'''''
  MARCO HALLER  ,65,BAHRAIN - MCLAREN  ,'03h 46'' 23'''''
