  MATTHIEU LADAGNOUS  ,55,GROUPAMA - FDJ  ,'05h 17'' 42'''''
  MARC HIRSCHI  ,204,TEAM SUNWEB  ,'05h 17'' 42'''''
  JENS DEBUSSCHERE  ,214,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 17'' 42'''''
  CONNOR SWIFT  ,88,TEAM ARKEA - SAMSIC  ,'05h 17'' 42'''''
  CYRIL BARTHE  ,212,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 17'' 42'''''
  ROMAIN BARDET  ,31,AG2R LA MONDIALE  ,'05h 17'' 42'''''
  DARYL IMPEY  ,165,MITCHELTON - SCOTT  ,'05h 17'' 42'''''
  SAMUEL BEWLEY  ,163,MITCHELTON - SCOTT  ,'05h 17'' 42'''''
  RYAN GIBBONS  ,193,NTT PRO CYCLING TEAM  ,'05h 17'' 42'''''
  RICHARD CARAPAZ  ,3,INEOS GRENADIERS  ,'05h 17'' 42'''''
  PRIMOŽ ROGLIC  ,11,TEAM JUMBO - VISMA  ,'05h 17'' 42'''''
  JOSÉ ROJAS  ,96,MOVISTAR TEAM  ,'05h 17'' 42'''''
  GEORGE BENNETT  ,12,TEAM JUMBO - VISMA  ,'05h 17'' 42'''''
  VALENTIN MADOUAS  ,56,GROUPAMA - FDJ  ,'05h 17'' 42'''''
  AMUND GRØNDAHL JANSEN  ,13,TEAM JUMBO - VISMA  ,'05h 17'' 42'''''
  DIEGO ROSA  ,86,TEAM ARKEA - SAMSIC  ,'05h 17'' 42'''''
  GORKA IZAGUIRRE INSAUSTI  ,144,ASTANA PRO TEAM  ,'05h 17'' 42'''''
  STEFAN KÜNG  ,54,GROUPAMA - FDJ  ,'05h 17'' 42'''''
  NIKLAS EG  ,102,TREK - SEGAFREDO  ,'05h 17'' 42'''''
  BAUKE MOLLEMA  ,104,TREK - SEGAFREDO  ,'05h 17'' 42'''''
  DYLAN VAN BAARLE  ,8,INEOS GRENADIERS  ,'05h 17'' 42'''''
  SEPP KUSS  ,16,TEAM JUMBO - VISMA  ,'05h 17'' 42'''''
  ENRIC MAS  ,94,MOVISTAR TEAM  ,'05h 17'' 42'''''
  MARCO HALLER  ,65,BAHRAIN - MCLAREN  ,'05h 17'' 42'''''
  PIERRE LUC PERICHON  ,127,COFIDIS  ,'05h 17'' 42'''''
  DANIEL FELIPE MARTINEZ  ,76,EF PRO CYCLING  ,'05h 17'' 42'''''
  MATEJ MOHORIC  ,66,BAHRAIN - MCLAREN  ,'05h 17'' 42'''''
  FABIO ARU  ,132,UAE TEAM EMIRATES  ,'05h 17'' 42'''''
  PIERRE LATOUR  ,34,AG2R LA MONDIALE  ,'05h 17'' 42'''''
  ROMAIN SICARD  ,186,TOTAL DIRECT ENERGIE  ,'05h 17'' 42'''''
  ALBERTO BETTIOL  ,72,EF PRO CYCLING  ,'05h 17'' 42'''''
  SERGIO ANDRES HIGUITA  ,74,EF PRO CYCLING  ,'05h 17'' 42'''''
