  WOUT VAN AERT  ,18,TEAM JUMBO - VISMA  ,'04h 21'' 22'''''
  CEES BOL  ,203,TEAM SUNWEB  ,'04h 21'' 22'''''
  SAM BENNETT  ,43,DECEUNINCK - QUICK - STEP  ,'04h 21'' 22'''''
  PETER SAGAN  ,21,BORA - HANSGROHE  ,'04h 21'' 22'''''
  JASPER STUYVEN  ,107,TREK - SEGAFREDO  ,'04h 21'' 22'''''
  LUKA MEZGEC  ,167,MITCHELTON - SCOTT  ,'04h 21'' 22'''''
  BRYAN COQUARD  ,211,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'04h 21'' 22'''''
  CALEB EWAN  ,151,LOTTO SOUDAL  ,'04h 21'' 22'''''
  CLÉMENT VENTURINI  ,37,AG2R LA MONDIALE  ,'04h 21'' 22'''''
  HUGO HOFSTETTER  ,174,ISRAEL START-UP NATION  ,'04h 21'' 22'''''
  GIACOMO NIZZOLO  ,191,NTT PRO CYCLING TEAM  ,'04h 21'' 22'''''
  CHRISTOPHE LAPORTE  ,125,COFIDIS  ,'04h 21'' 22'''''
  CASPER PHILLIP PEDERSEN  ,207,TEAM SUNWEB  ,'04h 21'' 22'''''
  ALEXANDER KRISTOFF  ,135,UAE TEAM EMIRATES  ,'04h 21'' 22'''''
  HUGO HOULE  ,143,ASTANA PRO TEAM  ,'04h 21'' 22'''''
  JULIAN ALAPHILIPPE  ,41,DECEUNINCK - QUICK - STEP  ,'04h 21'' 22'''''
  ADAM YATES  ,161,MITCHELTON - SCOTT  ,'04h 21'' 22'''''
  EGAN BERNAL  ,1,INEOS GRENADIERS  ,'04h 21'' 22'''''
  MIGUEL ANGEL LOPEZ  ,141,ASTANA PRO TEAM  ,'04h 21'' 22'''''
  GREG VAN AVERMAET  ,111,CCC TEAM  ,'04h 21'' 22'''''
  GUILLAUME MARTIN  ,121,COFIDIS  ,'04h 21'' 22'''''
  ROMAIN BARDET  ,31,AG2R LA MONDIALE  ,'04h 21'' 22'''''
  NAIRO QUINTANA  ,81,TEAM ARKEA - SAMSIC  ,'04h 21'' 22'''''
  RICHARD CARAPAZ  ,3,INEOS GRENADIERS  ,'04h 21'' 22'''''
  TADEJ POGACAR  ,131,UAE TEAM EMIRATES  ,'04h 21'' 22'''''
  TOM DUMOULIN  ,14,TEAM JUMBO - VISMA  ,'04h 21'' 22'''''
  ESTEBAN CHAVES  ,164,MITCHELTON - SCOTT  ,'04h 21'' 22'''''
  DANIEL OSS  ,26,BORA - HANSGROHE  ,'04h 21'' 22'''''
  MIKAEL CHEREL  ,32,AG2R LA MONDIALE  ,'04h 21'' 22'''''
  PRIMOŽ ROGLIC  ,11,TEAM JUMBO - VISMA  ,'04h 21'' 22'''''
  THIBAUT PINOT  ,51,GROUPAMA - FDJ  ,'04h 21'' 22'''''
  EMANUEL BUCHMANN  ,22,BORA - HANSGROHE  ,'04h 21'' 22'''''
  RIGOBERTO URAN  ,71,EF PRO CYCLING  ,'04h 21'' 22'''''
  ANTHONY TURGIS  ,188,TOTAL DIRECT ENERGIE  ,'04h 21'' 22'''''
  PIERRE ROLLAND  ,218,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'04h 21'' 22'''''
  SIMONE CONSONNI  ,122,COFIDIS  ,'04h 21'' 22'''''
  MARC SOLER  ,97,MOVISTAR TEAM  ,'04h 21'' 22'''''
  MATTEO TRENTIN  ,117,CCC TEAM  ,'04h 21'' 22'''''
