  PRIMOŽ ROGLIC  ,11,TEAM JUMBO - VISMA  ,'04h 07'' 47'''''
  TADEJ POGACAR  ,131,UAE TEAM EMIRATES  ,'04h 07'' 47'''''
  GUILLAUME MARTIN  ,121,COFIDIS  ,'04h 07'' 47'''''
  NAIRO QUINTANA  ,81,TEAM ARKEA - SAMSIC  ,'04h 07'' 47'''''
  JULIAN ALAPHILIPPE  ,41,DECEUNINCK - QUICK - STEP  ,'04h 07'' 47'''''
  MIGUEL ANGEL LOPEZ  ,141,ASTANA PRO TEAM  ,'04h 07'' 47'''''
  EGAN BERNAL  ,1,INEOS GRENADIERS  ,'04h 07'' 47'''''
  THIBAUT PINOT  ,51,GROUPAMA - FDJ  ,'04h 07'' 47'''''
  MIKEL LANDA  ,61,BAHRAIN - MCLAREN  ,'04h 07'' 47'''''
  ADAM YATES  ,161,MITCHELTON - SCOTT  ,'04h 07'' 47'''''
  TOM DUMOULIN  ,14,TEAM JUMBO - VISMA  ,'04h 07'' 47'''''
  ESTEBAN CHAVES  ,164,MITCHELTON - SCOTT  ,'04h 07'' 47'''''
  BAUKE MOLLEMA  ,104,TREK - SEGAFREDO  ,'04h 07'' 47'''''
  RICHIE PORTE  ,101,TREK - SEGAFREDO  ,'04h 07'' 47'''''
  RIGOBERTO URAN  ,71,EF PRO CYCLING  ,'04h 07'' 47'''''
  ROMAIN BARDET  ,31,AG2R LA MONDIALE  ,'04h 07'' 47'''''
  EMANUEL BUCHMANN  ,22,BORA - HANSGROHE  ,'04h 07'' 56'''''
  ENRIC MAS  ,94,MOVISTAR TEAM  ,'04h 07'' 56'''''
  SEPP KUSS  ,16,TEAM JUMBO - VISMA  ,'04h 07'' 56'''''
  HUGH JOHN CARTHY  ,73,EF PRO CYCLING  ,'04h 08'' 02'''''
  ALEJANDRO VALVERDE  ,91,MOVISTAR TEAM  ,'04h 08'' 08'''''
  NICOLAS ROCHE  ,208,TEAM SUNWEB  ,'04h 08'' 15'''''
  DAMIANO CARUSO  ,63,BAHRAIN - MCLAREN  ,'04h 08'' 15'''''
  RICHARD CARAPAZ  ,3,INEOS GRENADIERS  ,'04h 08'' 15'''''
  SÉBASTIEN REICHENBACH  ,58,GROUPAMA - FDJ  ,'04h 08'' 15'''''
  DANIEL FELIPE MARTINEZ  ,76,EF PRO CYCLING  ,'04h 08'' 15'''''
