  DANIEL MARTIN  ,171,ISRAEL START-UP NATION  ,'04h 49'' 21'''''
  FELIX GROSSSCHARTNER  ,23,BORA - HANSGROHE  ,'04h 49'' 33'''''
  DYLAN VAN BAARLE  ,8,INEOS GRENADIERS  ,'04h 49'' 33'''''
  MATHIEU BURGAUDEAU  ,182,TOTAL DIRECT ENERGIE  ,'04h 50'' 50'''''
  TOM VAN ASBROECK  ,178,ISRAEL START-UP NATION  ,'04h 50'' 50'''''
  JENS KEUKELEIRE  ,75,EF PRO CYCLING  ,'04h 50'' 50'''''
  EDVALD BOASSON HAGEN  ,192,NTT PRO CYCLING TEAM  ,'04h 50'' 50'''''
  GREGOR MÜHLBERGER  ,25,BORA - HANSGROHE  ,'04h 50'' 50'''''
  QUENTIN PACHER  ,216,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'04h 51'' 19'''''
  STEFAN KÜNG  ,54,GROUPAMA - FDJ  ,'04h 51'' 19'''''
  MICHAEL HUNDAHL VALGREN  ,195,NTT PRO CYCLING TEAM  ,'04h 51'' 19'''''
  LENNARD KÄMNA  ,24,BORA - HANSGROHE  ,'04h 51'' 19'''''
  JOSÉ ROJAS  ,96,MOVISTAR TEAM  ,'04h 51'' 19'''''
  OMAR FRAILE  ,142,ASTANA PRO TEAM  ,'04h 51'' 19'''''
  DARIO CATALDO  ,92,MOVISTAR TEAM  ,'04h 51'' 19'''''
  CARLOS VERONA  ,98,MOVISTAR TEAM  ,'04h 51'' 19'''''
  PIERRE LATOUR  ,34,AG2R LA MONDIALE  ,'04h 51'' 19'''''
  CYRIL GAUTIER  ,215,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'04h 51'' 19'''''
  TOMS SKUJINS  ,106,TREK - SEGAFREDO  ,'04h 51'' 19'''''
  DRIES DEVENYNS  ,46,DECEUNINCK - QUICK - STEP  ,'04h 51'' 19'''''
  ALESSANDRO DE MARCHI  ,112,CCC TEAM  ,'04h 51'' 24'''''
  DANIEL OSS  ,26,BORA - HANSGROHE  ,'04h 54'' 01'''''
  NANS PETERS  ,36,AG2R LA MONDIALE  ,'04h 55'' 32'''''
  CYRIL BARTHE  ,212,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'04h 55'' 32'''''
  MICHAEL SCHÄR  ,116,CCC TEAM  ,'04h 55'' 32'''''
  TEJAY VAN GARDEREN  ,78,EF PRO CYCLING  ,'04h 55'' 32'''''
  TIM DECLERCQ  ,45,DECEUNINCK - QUICK - STEP  ,'04h 57'' 35'''''
  OLIVER NAESEN  ,35,AG2R LA MONDIALE  ,'04h 57'' 35'''''
  JASPER STUYVEN  ,107,TREK - SEGAFREDO  ,'04h 57'' 35'''''
  FABIEN GRELLIER  ,185,TOTAL DIRECT ENERGIE  ,'04h 57'' 35'''''
  KÉVIN LEDANOIS  ,84,TEAM ARKEA - SAMSIC  ,'04h 57'' 35'''''
  MATEJ MOHORIC  ,66,BAHRAIN - MCLAREN  ,'04h 57'' 35'''''
  MATTHIEU LADAGNOUS  ,55,GROUPAMA - FDJ  ,'04h 57'' 35'''''
  IMANOL ERVITI  ,93,MOVISTAR TEAM  ,'04h 57'' 35'''''
  VEGARD STAKE LAENGEN  ,136,UAE TEAM EMIRATES  ,'04h 57'' 35'''''
  ANDREY AMADOR  ,2,INEOS GRENADIERS  ,'04h 57'' 35'''''
  KASPER ASGREEN  ,42,DECEUNINCK - QUICK - STEP  ,'04h 57'' 35'''''
  SONNY COLBRELLI  ,64,BAHRAIN - MCLAREN  ,'04h 59'' 21'''''
  ALBERTO BETTIOL  ,72,EF PRO CYCLING  ,'04h 59'' 21'''''
  ELIA VIVIANI  ,128,COFIDIS  ,'04h 59'' 21'''''
  PETER SAGAN  ,21,BORA - HANSGROHE  ,'04h 59'' 21'''''
  EDWARD THEUNS  ,108,TREK - SEGAFREDO  ,'04h 59'' 21'''''
  TIESJ BENOOT  ,201,TEAM SUNWEB  ,'04h 59'' 21'''''
  LUKAS PÖSTLBERGER  ,27,BORA - HANSGROHE  ,'04h 59'' 21'''''
  MICHAEL GOGL  ,194,NTT PRO CYCLING TEAM  ,'04h 59'' 21'''''
  CASPER PHILLIP PEDERSEN  ,207,TEAM SUNWEB  ,'04h 59'' 21'''''
  PIERRE LUC PERICHON  ,127,COFIDIS  ,'04h 59'' 21'''''
  MARC HIRSCHI  ,204,TEAM SUNWEB  ,'04h 59'' 21'''''
  CLÉMENT RUSSO  ,87,TEAM ARKEA - SAMSIC  ,'04h 59'' 21'''''
  ROMAN KREUZIGER  ,196,NTT PRO CYCLING TEAM  ,'04h 59'' 21'''''
  KRISTS NEILANDS  ,175,ISRAEL START-UP NATION  ,'04h 59'' 21'''''
  MARCO MARCATO  ,137,UAE TEAM EMIRATES  ,'04h 59'' 21'''''
  HUGO HOFSTETTER  ,174,ISRAEL START-UP NATION  ,'04h 59'' 21'''''
  SØREN KRAGH ANDERSEN  ,205,TEAM SUNWEB  ,'04h 59'' 26'''''
  JACK BAUER  ,162,MITCHELTON - SCOTT  ,'05h 03'' 43'''''
  AMUND GRØNDAHL JANSEN  ,13,TEAM JUMBO - VISMA  ,'05h 03'' 43'''''
  CONNOR SWIFT  ,88,TEAM ARKEA - SAMSIC  ,'05h 03'' 43'''''
  STEFF CRAS  ,152,LOTTO SOUDAL  ,'05h 03'' 43'''''
  DARYL IMPEY  ,165,MITCHELTON - SCOTT  ,'05h 03'' 43'''''
  RYAN GIBBONS  ,193,NTT PRO CYCLING TEAM  ,'05h 03'' 43'''''
  DAYER QUINTANA  ,85,TEAM ARKEA - SAMSIC  ,'05h 03'' 43'''''
  BRYAN COQUARD  ,211,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 03'' 43'''''
  DAVID DE LA CRUZ  ,133,UAE TEAM EMIRATES  ,'05h 03'' 43'''''
  MAXIME CHEVALIER  ,213,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 03'' 43'''''
  KÉVIN REZA  ,217,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 03'' 43'''''
  NILS POLITT  ,177,ISRAEL START-UP NATION  ,'05h 03'' 43'''''
  MARCO HALLER  ,65,BAHRAIN - MCLAREN  ,'05h 03'' 43'''''
  PAVEL SIVAKOV  ,7,INEOS GRENADIERS  ,'05h 03'' 43'''''
  TONY MARTIN  ,17,TEAM JUMBO - VISMA  ,'05h 03'' 43'''''
  ANTHONY TURGIS  ,188,TOTAL DIRECT ENERGIE  ,'05h 03'' 43'''''
  LILIAN CALMEJANE  ,183,TOTAL DIRECT ENERGIE  ,'05h 03'' 43'''''
  GEOFFREY SOUPE  ,187,TOTAL DIRECT ENERGIE  ,'05h 03'' 43'''''
  GIACOMO NIZZOLO  ,191,NTT PRO CYCLING TEAM  ,'05h 03'' 43'''''
  MATTEO TRENTIN  ,117,CCC TEAM  ,'05h 03'' 43'''''
  LUKA MEZGEC  ,167,MITCHELTON - SCOTT  ,'05h 03'' 43'''''
  SAMUEL BEWLEY  ,163,MITCHELTON - SCOTT  ,'05h 03'' 43'''''
  ALEXANDER KRISTOFF  ,135,UAE TEAM EMIRATES  ,'05h 03'' 43'''''
  ANDRÉ GREIPEL  ,172,ISRAEL START-UP NATION  ,'05h 03'' 43'''''
  LUKE ROWE  ,6,INEOS GRENADIERS  ,'05h 03'' 43'''''
  JENS DEBUSSCHERE  ,214,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 03'' 43'''''
  FREDERIK FRISON  ,156,LOTTO SOUDAL  ,'05h 03'' 43'''''
  JONAS KOCH  ,115,CCC TEAM  ,'05h 03'' 43'''''
  CALEB EWAN  ,151,LOTTO SOUDAL  ,'05h 03'' 43'''''
  CHRISTOPHER JUUL JENSEN  ,166,MITCHELTON - SCOTT  ,'05h 03'' 43'''''
  JORIS NIEUWENHUIS  ,206,TEAM SUNWEB  ,'05h 03'' 43'''''
  WOUTER POELS  ,67,BAHRAIN - MCLAREN  ,'05h 03'' 43'''''
  JASPER DE BUYST  ,153,LOTTO SOUDAL  ,'05h 03'' 43'''''
  MADS PEDERSEN  ,105,TREK - SEGAFREDO  ,'05h 03'' 43'''''
  MICHAEL MØRKØV  ,48,DECEUNINCK - QUICK - STEP  ,'05h 03'' 43'''''
  NIKIAS ARNDT  ,202,TEAM SUNWEB  ,'05h 03'' 43'''''
  MAXIMILIAN WALSCHEID  ,198,NTT PRO CYCLING TEAM  ,'05h 03'' 43'''''
