  JULIAN ALAPHILIPPE  ,41,DECEUNINCK - QUICK - STEP  ,'04h 55'' 27'''''
  MARC HIRSCHI  ,204,TEAM SUNWEB  ,'04h 55'' 27'''''
  ADAM YATES  ,161,MITCHELTON - SCOTT  ,'04h 55'' 28'''''
  GREG VAN AVERMAET  ,111,CCC TEAM  ,'04h 55'' 29'''''
  SERGIO ANDRES HIGUITA  ,74,EF PRO CYCLING  ,'04h 55'' 29'''''
  BAUKE MOLLEMA  ,104,TREK - SEGAFREDO  ,'04h 55'' 29'''''
  ALEXEY LUTSENKO  ,146,ASTANA PRO TEAM  ,'04h 55'' 29'''''
  TADEJ POGACAR  ,131,UAE TEAM EMIRATES  ,'04h 55'' 29'''''
  MAXIMILIAN SCHACHMANN  ,28,BORA - HANSGROHE  ,'04h 55'' 29'''''
  ALBERTO BETTIOL  ,72,EF PRO CYCLING  ,'04h 55'' 29'''''
  GUILLAUME MARTIN  ,121,COFIDIS  ,'04h 55'' 29'''''
  ESTEBAN CHAVES  ,164,MITCHELTON - SCOTT  ,'04h 55'' 29'''''
  DAMIANO CARUSO  ,63,BAHRAIN - MCLAREN  ,'04h 55'' 29'''''
  ALEJANDRO VALVERDE  ,91,MOVISTAR TEAM  ,'04h 55'' 29'''''
  PIERRE LATOUR  ,34,AG2R LA MONDIALE  ,'04h 55'' 29'''''
  MIGUEL ANGEL LOPEZ  ,141,ASTANA PRO TEAM  ,'04h 55'' 29'''''
  EGAN BERNAL  ,1,INEOS GRENADIERS  ,'04h 55'' 29'''''
  NAIRO QUINTANA  ,81,TEAM ARKEA - SAMSIC  ,'04h 55'' 29'''''
  JESUS HERRADA  ,124,COFIDIS  ,'04h 55'' 29'''''
  RICHARD CARAPAZ  ,3,INEOS GRENADIERS  ,'04h 55'' 29'''''
  PIERRE ROLLAND  ,218,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'04h 55'' 29'''''
  TOM DUMOULIN  ,14,TEAM JUMBO - VISMA  ,'04h 55'' 29'''''
  KENNY ELISSONDE  ,103,TREK - SEGAFREDO  ,'04h 55'' 29'''''
  NICOLAS ROCHE  ,208,TEAM SUNWEB  ,'04h 55'' 29'''''
  ENRIC MAS  ,94,MOVISTAR TEAM  ,'04h 55'' 29'''''
  EMANUEL BUCHMANN  ,22,BORA - HANSGROHE  ,'04h 55'' 29'''''
  MIKEL LANDA  ,61,BAHRAIN - MCLAREN  ,'04h 55'' 29'''''
  PELLO BILBAO  ,62,BAHRAIN - MCLAREN  ,'04h 55'' 29'''''
  THIBAUT PINOT  ,51,GROUPAMA - FDJ  ,'04h 55'' 29'''''
  ROMAIN BARDET  ,31,AG2R LA MONDIALE  ,'04h 55'' 29'''''
  PRIMOŽ ROGLIC  ,11,TEAM JUMBO - VISMA  ,'04h 55'' 29'''''
  RIGOBERTO URAN  ,71,EF PRO CYCLING  ,'04h 55'' 29'''''
  DAVIDE FORMOLO  ,134,UAE TEAM EMIRATES  ,'04h 55'' 29'''''
  RICHIE PORTE  ,101,TREK - SEGAFREDO  ,'04h 55'' 29'''''
  SÉBASTIEN REICHENBACH  ,58,GROUPAMA - FDJ  ,'04h 55'' 29'''''
  LUIS LEÓN SANCHEZ  ,147,ASTANA PRO TEAM  ,'04h 55'' 29'''''
  GORKA IZAGUIRRE INSAUSTI  ,144,ASTANA PRO TEAM  ,'04h 55'' 46'''''
  MICHAL KWIATKOWSKI  ,5,INEOS GRENADIERS  ,'04h 56'' 31'''''
  MARC SOLER  ,97,MOVISTAR TEAM  ,'04h 56'' 39'''''
  DOMENICO POZZOVIVO  ,197,NTT PRO CYCLING TEAM  ,'04h 56'' 43'''''
  GEORGE BENNETT  ,12,TEAM JUMBO - VISMA  ,'04h 56'' 43'''''
  FABIO ARU  ,132,UAE TEAM EMIRATES  ,'04h 57'' 36'''''
  RUDY MOLARD  ,57,GROUPAMA - FDJ  ,'04h 57'' 36'''''
  VALENTIN MADOUAS  ,56,GROUPAMA - FDJ  ,'04h 57'' 36'''''
  SEPP KUSS  ,16,TEAM JUMBO - VISMA  ,'04h 57'' 36'''''
  WOUT VAN AERT  ,18,TEAM JUMBO - VISMA  ,'04h 57'' 36'''''
  HUGH JOHN CARTHY  ,73,EF PRO CYCLING  ,'04h 59'' 05'''''
  DANIEL FELIPE MARTINEZ  ,76,EF PRO CYCLING  ,'04h 59'' 05'''''
  ALEXIS VUILLERMOZ  ,38,AG2R LA MONDIALE  ,'04h 59'' 05'''''
  NICOLAS EDET  ,123,COFIDIS  ,'04h 59'' 52'''''
  HAROLD TEJADA  ,148,ASTANA PRO TEAM  ,'04h 59'' 52'''''
  ILNUR ZAKARIN  ,118,CCC TEAM  ,'04h 59'' 52'''''
  ROMAIN SICARD  ,186,TOTAL DIRECT ENERGIE  ,'04h 59'' 52'''''
  MIKEL NIEVE  ,168,MITCHELTON - SCOTT  ,'04h 59'' 52'''''
  ION IZAGUIRRE INSAUSTI  ,145,ASTANA PRO TEAM  ,'04h 59'' 52'''''
  WARREN BARGUIL  ,83,TEAM ARKEA - SAMSIC  ,'04h 59'' 52'''''
  JASPER STUYVEN  ,107,TREK - SEGAFREDO  ,'05h 01'' 02'''''
  KRISTS NEILANDS  ,175,ISRAEL START-UP NATION  ,'05h 02'' 29'''''
  JONATHAN CASTROVIEJO  ,4,INEOS GRENADIERS  ,'05h 02'' 29'''''
  BOB JUNGELS  ,47,DECEUNINCK - QUICK - STEP  ,'05h 02'' 29'''''
  MIKAEL CHEREL  ,32,AG2R LA MONDIALE  ,'05h 02'' 29'''''
  WINNER ANACONA  ,82,TEAM ARKEA - SAMSIC  ,'05h 02'' 29'''''
  NELSON OLIVEIRA  ,95,MOVISTAR TEAM  ,'05h 04'' 08'''''
  ROBERT GESINK  ,15,TEAM JUMBO - VISMA  ,'05h 04'' 08'''''
  NIKLAS EG  ,102,TREK - SEGAFREDO  ,'05h 04'' 08'''''
  DIEGO ROSA  ,86,TEAM ARKEA - SAMSIC  ,'05h 05'' 22'''''
  JAN POLANC  ,138,UAE TEAM EMIRATES  ,'05h 05'' 24'''''
  CYRIL GAUTIER  ,215,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 05'' 46'''''
  TOMS SKUJINS  ,106,TREK - SEGAFREDO  ,'05h 05'' 46'''''
  BEN HERMANS  ,173,ISRAEL START-UP NATION  ,'05h 05'' 46'''''
  LENNARD KÄMNA  ,24,BORA - HANSGROHE  ,'05h 05'' 46'''''
  FELIX GROSSSCHARTNER  ,23,BORA - HANSGROHE  ,'05h 05'' 46'''''
  GREGOR MÜHLBERGER  ,25,BORA - HANSGROHE  ,'05h 05'' 46'''''
  DARIO CATALDO  ,92,MOVISTAR TEAM  ,'05h 05'' 46'''''
  CLÉMENT VENTURINI  ,37,AG2R LA MONDIALE  ,'05h 08'' 10'''''
  CARLOS VERONA  ,98,MOVISTAR TEAM  ,'05h 09'' 19'''''
  NEILSON POWLESS  ,77,EF PRO CYCLING  ,'05h 09'' 19'''''
  SØREN KRAGH ANDERSEN  ,205,TEAM SUNWEB  ,'05h 09'' 19'''''
  DRIES DEVENYNS  ,46,DECEUNINCK - QUICK - STEP  ,'05h 10'' 00'''''
  KASPER ASGREEN  ,42,DECEUNINCK - QUICK - STEP  ,'05h 13'' 12'''''
  OLIVER NAESEN  ,35,AG2R LA MONDIALE  ,'05h 13'' 12'''''
  CONNOR SWIFT  ,88,TEAM ARKEA - SAMSIC  ,'05h 13'' 12'''''
  NILS POLITT  ,177,ISRAEL START-UP NATION  ,'05h 13'' 12'''''
  DAYER QUINTANA  ,85,TEAM ARKEA - SAMSIC  ,'05h 13'' 12'''''
  STEFAN KÜNG  ,54,GROUPAMA - FDJ  ,'05h 13'' 12'''''
  NANS PETERS  ,36,AG2R LA MONDIALE  ,'05h 13'' 12'''''
  MICHAEL SCHÄR  ,116,CCC TEAM  ,'05h 13'' 12'''''
  ROMAN KREUZIGER  ,196,NTT PRO CYCLING TEAM  ,'05h 13'' 12'''''
  JOSÉ ROJAS  ,96,MOVISTAR TEAM  ,'05h 13'' 12'''''
  SIMON GESCHKE  ,113,CCC TEAM  ,'05h 13'' 12'''''
  QUENTIN PACHER  ,216,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 13'' 12'''''
  BENOIT COSNEFROY  ,33,AG2R LA MONDIALE  ,'05h 13'' 12'''''
  JONAS KOCH  ,115,CCC TEAM  ,'05h 13'' 12'''''
  ANTHONY PEREZ  ,126,COFIDIS  ,'05h 13'' 12'''''
  EDWARD THEUNS  ,108,TREK - SEGAFREDO  ,'05h 13'' 12'''''
  DAVID GAUDU  ,53,GROUPAMA - FDJ  ,'05h 13'' 12'''''
  TIESJ BENOOT  ,201,TEAM SUNWEB  ,'05h 13'' 12'''''
  OMAR FRAILE  ,142,ASTANA PRO TEAM  ,'05h 13'' 12'''''
  TEJAY VAN GARDEREN  ,78,EF PRO CYCLING  ,'05h 13'' 12'''''
  DANIEL MARTIN  ,171,ISRAEL START-UP NATION  ,'05h 13'' 12'''''
  AMUND GRØNDAHL JANSEN  ,13,TEAM JUMBO - VISMA  ,'05h 13'' 12'''''
  EDVALD BOASSON HAGEN  ,192,NTT PRO CYCLING TEAM  ,'05h 13'' 12'''''
  LUKAS PÖSTLBERGER  ,27,BORA - HANSGROHE  ,'05h 13'' 12'''''
  TIM DECLERCQ  ,45,DECEUNINCK - QUICK - STEP  ,'05h 13'' 12'''''
  DYLAN VAN BAARLE  ,8,INEOS GRENADIERS  ,'05h 13'' 12'''''
